Ration_A,LOGP_A,SpAbs_A,ATS4d,ATS0s,ATS1s,ATS4s,ATS5s,ATS5v,ATS2are,AATS2m,AATS3v,ATSC0d,ATSC6d,ATSC4pe,ATSC7pe,ATSC1i,ATSC6i,MATS6p,Xp-4d,ZMIC4,Kier2,Ration_B,LOGP_B,ATS4d.1,ATS0s.1,ATS1s.1,ATS4s.1,ATS5s.1,ATS5v.1,AATS2m.1,AATS3v.1,ATSC0d.1,ATSC4pe.1,ATSC7pe.1,ATSC6p.1,ATSC1i.1,ATSC6i.1,MATS6p.1,Xp-4d.1,ZMIC4.1,Kier2.1,TSRW10.1
0,-3.99550009,0,76,0,0,0,0,3739.236328,246.776001,42.46697998,114.9792023,10.56000042,-0.97920001,-2.29358125,-0.16303872,-2.85291338,-12.21623135,-0.13098516,0.85943276,20.80417061,7.11111116,100,1.55869997,92,95.55555725,65.47222137,145.5,85.83333588,4754.848633,40.61091232,116.7041626,9.62963009,-1.75839829,-0.48800412,-0.36729461,-6.17508793,-2.10481834,-0.04604986,1.04964614,18.29006004,5.76000023,37.3264122
20,-3.99550009,0,76,0,0,0,0,3739.236328,246.776001,42.46697998,114.9792023,10.56000042,-0.97920001,-2.29358125,-0.16303872,-2.85291338,-12.21623135,-0.13098516,0.85943276,20.80417061,7.11111116,80,1.55869997,92,95.55555725,65.47222137,145.5,85.83333588,4754.848633,40.61091232,116.7041626,9.62963009,-1.75839829,-0.48800412,-0.36729461,-6.17508793,-2.10481834,-0.04604986,1.04964614,18.29006004,5.76000023,37.3264122
36,-3.99550009,0,76,0,0,0,0,3739.236328,246.776001,42.46697998,114.9792023,10.56000042,-0.97920001,-2.29358125,-0.16303872,-2.85291338,-12.21623135,-0.13098516,0.85943276,20.80417061,7.11111116,64,1.55869997,92,95.55555725,65.47222137,145.5,85.83333588,4754.848633,40.61091232,116.7041626,9.62963009,-1.75839829,-0.48800412,-0.36729461,-6.17508793,-2.10481834,-0.04604986,1.04964614,18.29006004,5.76000023,37.3264122
54,-3.99550009,0,76,0,0,0,0,3739.236328,246.776001,42.46697998,114.9792023,10.56000042,-0.97920001,-2.29358125,-0.16303872,-2.85291338,-12.21623135,-0.13098516,0.85943276,20.80417061,7.11111116,46,1.55869997,92,95.55555725,65.47222137,145.5,85.83333588,4754.848633,40.61091232,116.7041626,9.62963009,-1.75839829,-0.48800412,-0.36729461,-6.17508793,-2.10481834,-0.04604986,1.04964614,18.29006004,5.76000023,37.3264122
78,-3.99550009,0,76,0,0,0,0,3739.236328,246.776001,42.46697998,114.9792023,10.56000042,-0.97920001,-2.29358125,-0.16303872,-2.85291338,-12.21623135,-0.13098516,0.85943276,20.80417061,7.11111116,22,1.55869997,92,95.55555725,65.47222137,145.5,85.83333588,4754.848633,40.61091232,116.7041626,9.62963009,-1.75839829,-0.48800412,-0.36729461,-6.17508793,-2.10481834,-0.04604986,1.04964614,18.29006004,5.76000023,37.3264122
18,-3.99550009,0,76,0,0,0,0,3739.236328,246.776001,42.46697998,114.9792023,10.56000042,-0.97920001,-2.29358125,-0.16303872,-2.85291338,-12.21623135,-0.13098516,0.85943276,20.80417061,7.11111116,82,2.33890009,124,104.0555573,75.97222137,169.5,111.25,6693.709473,38.94568253,115.6019058,10.969697,-1.62936532,-0.23826942,-0.06016219,-5.95581818,-1.35171211,-0.00507365,1.40319955,18.95495033,7.63888884,40.15626907
33,-3.99550009,0,76,0,0,0,0,3739.236328,246.776001,42.46697998,114.9792023,10.56000042,-0.97920001,-2.29358125,-0.16303872,-2.85291338,-12.21623135,-0.13098516,0.85943276,20.80417061,7.11111116,67,2.33890009,124,104.0555573,75.97222137,169.5,111.25,6693.709473,38.94568253,115.6019058,10.969697,-1.62936532,-0.23826942,-0.06016219,-5.95581818,-1.35171211,-0.00507365,1.40319955,18.95495033,7.63888884,40.15626907
51,-3.99550009,0,76,0,0,0,0,3739.236328,246.776001,42.46697998,114.9792023,10.56000042,-0.97920001,-2.29358125,-0.16303872,-2.85291338,-12.21623135,-0.13098516,0.85943276,20.80417061,7.11111116,49,2.33890009,124,104.0555573,75.97222137,169.5,111.25,6693.709473,38.94568253,115.6019058,10.969697,-1.62936532,-0.23826942,-0.06016219,-5.95581818,-1.35171211,-0.00507365,1.40319955,18.95495033,7.63888884,40.15626907
63,-3.99550009,0,76,0,0,0,0,3739.236328,246.776001,42.46697998,114.9792023,10.56000042,-0.97920001,-2.29358125,-0.16303872,-2.85291338,-12.21623135,-0.13098516,0.85943276,20.80417061,7.11111116,37,2.33890009,124,104.0555573,75.97222137,169.5,111.25,6693.709473,38.94568253,115.6019058,10.969697,-1.62936532,-0.23826942,-0.06016219,-5.95581818,-1.35171211,-0.00507365,1.40319955,18.95495033,7.63888884,40.15626907
